affiliation,cited by count,first name,first name (orig),h-index,id,last name,last name (orig),subject areas
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60001439', 'affiliation-id': '60001439', 'affiliation-name': 'Pennsylvania State University', 'affiliation-city': 'State College', 'affiliation-country': 'United States'}",262.0,Junhong,Junhong,9.0,8700,Lin,Lin,"[{'@abbrev': 'MATE', '@frequency': '21', '$': 'Materials Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '16', '$': 'Engineering (all)'}, {'@abbrev': 'PHYS', '@frequency': '14', '$': 'Physics and Astronomy (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60016849', 'affiliation-id': '60016849', 'affiliation-name': 'University of Toronto', 'affiliation-city': 'Toronto', 'affiliation-country': 'Canada'}",0.0,Yuhuai,Yuhuai,0.0,8701,Wu,Wu,"[{'@abbrev': 'COMP', '@frequency': '9', '$': 'Computer Science (all)'}, {'@abbrev': 'NEUR', '@frequency': '1', '$': 'Neuroscience (all)'}, {'@abbrev': 'ARTS', '@frequency': '1', '$': 'Arts and Humanities (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60025038', 'affiliation-id': '60025038', 'affiliation-name': 'UC Berkeley', 'affiliation-city': 'Berkeley', 'affiliation-country': 'United States'}",39.0,Maximilian,Maximilian,3.0,8702,Balandat,Balandat,"[{'@abbrev': 'COMP', '@frequency': '14', '$': 'Computer Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '9', '$': 'Engineering (all)'}, {'@abbrev': 'MATH', '@frequency': '6', '$': 'Mathematics (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60025038', 'affiliation-id': '60025038', 'affiliation-name': 'UC Berkeley', 'affiliation-city': 'Berkeley', 'affiliation-country': 'United States'}",5887.0,Claire Jennifer,Claire,40.0,8703,Tomlin,Tomlin,"[{'@abbrev': 'ENGI', '@frequency': '389', '$': 'Engineering (all)'}, {'@abbrev': 'COMP', '@frequency': '133', '$': 'Computer Science (all)'}, {'@abbrev': 'MATH', '@frequency': '132', '$': 'Mathematics (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60012708', 'affiliation-id': '60012708', 'affiliation-name': 'Stanford University', 'affiliation-city': 'Palo Alto', 'affiliation-country': 'United States'}",0.0,Dangna,Dangna,0.0,8704,Li,Li,"{'@abbrev': 'COMP', '@frequency': '3', '$': 'Computer Science (all)'}"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60019499', 'affiliation-id': '60019499', 'affiliation-name': 'Chinese Academy of Sciences', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}",17275.0,Kun,Kun,67.0,8705,Yang,Yang,"[{'@abbrev': 'ENGI', '@frequency': '411', '$': 'Engineering (all)'}, {'@abbrev': 'PHYS', '@frequency': '325', '$': 'Physics and Astronomy (all)'}, {'@abbrev': 'MATE', '@frequency': '271', '$': 'Materials Science (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60012708', 'affiliation-id': '60012708', 'affiliation-name': 'Stanford University', 'affiliation-city': 'Palo Alto', 'affiliation-country': 'United States'}",13660.0,Winghung,Wing Hung,53.0,8706,Wong,Wong,"[{'@abbrev': 'BIOC', '@frequency': '123', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}, {'@abbrev': 'MATH', '@frequency': '80', '$': 'Mathematics (all)'}, {'@abbrev': 'COMP', '@frequency': '49', '$': 'Computer Science (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60008293', 'affiliation-id': '60008293', 'affiliation-name': 'University of Bremen', 'affiliation-city': 'Bremen', 'affiliation-country': 'Germany'}",5.0,Sven,Sven,2.0,8707,Eberhardt,Eberhardt,"[{'@abbrev': 'COMP', '@frequency': '6', '$': 'Computer Science (all)'}, {'@abbrev': 'MEDI', '@frequency': '1', '$': 'Medicine (all)'}]"
,,,Jonah G.,,8708,,Cader,
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60009982', 'affiliation-id': '60009982', 'affiliation-name': 'Harvard University', 'affiliation-city': 'Cambridge', 'affiliation-country': 'United States'}",154.0,Yaroslav,Yaniv,5.0,8709,Tenzer,Tenzer,"[{'@abbrev': 'COMP', '@frequency': '15', '$': 'Computer Science (all)'}, {'@abbrev': 'ENGI', '@frequency': '12', '$': 'Engineering (all)'}, {'@abbrev': 'MATH', '@frequency': '5', '$': 'Mathematics (all)'}]"
"{'affiliation-url': 'http://api.elsevier.com/content/affiliation/affiliation_id/60022522', 'affiliation-id': '60022522', 'affiliation-name': 'Montana State University - Bozeman', 'affiliation-city': 'Bozeman', 'affiliation-country': 'United States'}",726.0,Marcella A.,Marcella A.,12.0,871,McClure,McClure,"[{'@abbrev': 'BIOC', '@frequency': '37', '$': 'Biochemistry, Genetics and Molecular Biology (all)'}, {'@abbrev': 'IMMU', '@frequency': '14', '$': 'Immunology and Microbiology (all)'}, {'@abbrev': 'AGRI', '@frequency': '13', '$': 'Agricultural and Biological Sciences (all)'}]"
