,id,topics
338,1309,"[(5, 0.20184037544097463), (13, 0.38751622203066272)]"
339,131,[]
340,1310,"[(3, 0.20985145539574446), (7, 0.30256576532866047)]"
341,1311,"[(6, 0.97693888471362744)]"
342,1312,"[(3, 0.25302122923621251)]"
343,1313,"[(13, 0.42747361564923964), (14, 0.30961209226866715)]"
344,1314,"[(13, 0.66576930404279433), (19, 0.21088843625560233)]"
345,1315,"[(5, 0.43680400437328426), (6, 0.29390665228866475)]"
346,1316,"[(13, 0.26058769874317939), (18, 0.31218151490944684), (19, 0.25157163477113453)]"
347,1317,[]
348,1318,"[(17, 0.79146922746469162)]"
349,1319,"[(3, 0.51697591233091889)]"
350,132,[]
351,1320,"[(5, 0.26667254448238137)]"
352,1321,"[(5, 0.4494140460299475)]"
353,1322,[]
354,1323,"[(13, 0.6973428654862156)]"
355,1324,"[(3, 0.64204818660433949)]"
356,1325,"[(6, 0.31263532963615015)]"
357,1326,"[(13, 0.41667216869400864), (14, 0.32383595311769414)]"
358,1327,"[(15, 0.30750500904340539)]"
359,1328,"[(13, 0.43557838547471689)]"
360,1329,"[(1, 0.23720568247568222), (13, 0.23298803578809893)]"
361,133,"[(1, 0.52836365779641936)]"
362,1330,[]
363,1331,"[(9, 0.23896513046597542), (14, 0.31479413318146576), (17, 0.2428136952987181)]"
364,1332,"[(17, 0.56925093512903358)]"
365,1333,"[(6, 0.34559384916823088), (10, 0.22013913996294421), (14, 0.20153772276537094)]"
366,1334,"[(18, 0.24597505970606856)]"
367,1335,"[(6, 0.43432195604145751)]"
368,1336,"[(19, 0.21026697363678928)]"
369,1337,[]
370,1338,[]
371,1339,"[(0, 0.40397076387295161), (14, 0.24825578126389772), (16, 0.32262403962281411)]"
372,134,"[(6, 0.33013802668013603), (10, 0.25672922344895477), (13, 0.20840282142371361)]"
373,1340,"[(6, 0.21026889653992448), (13, 0.25529137174040079), (19, 0.36186220901397359)]"
374,1341,"[(13, 0.26750510071927752), (14, 0.32664235429167388)]"
375,1342,"[(14, 0.38657750385873901), (18, 0.24133786395134693)]"
376,1343,"[(3, 0.30748282693097539), (5, 0.22758901346398738)]"
377,1344,"[(13, 0.54446465397027655)]"
378,1345,"[(1, 0.20197280695049036), (3, 0.24036726420931256)]"
