row_id,id,topics
299,1273,"[(0, 0.20735363244732219), (5, 0.62522398644821786)]"
300,1274,"[(1, 0.29915981839562683), (9, 0.53630845732905263)]"
301,1275,"[(1, 0.51454189688224039), (3, 0.34399292495953493)]"
302,1276,"[(1, 0.38598765980369137), (3, 0.29986824005947887), (9, 0.31264152916256138)]"
303,1277,"[(1, 0.5775898242600136), (9, 0.2533697117452462)]"
304,1278,"[(5, 0.9831416151088932)]"
305,1279,"[(3, 0.56328152530955045), (9, 0.34197235799069819)]"
306,128,"[(1, 0.70150824381623766)]"
307,1280,"[(3, 0.78244011157804072)]"
308,1281,"[(1, 0.94504485929362403)]"
309,1282,"[(1, 0.62990798140422366)]"
310,1283,"[(0, 0.34720671832134076), (4, 0.31933650648465128)]"
311,1284,"[(0, 0.22507318133151547), (5, 0.67364965246342301)]"
312,1285,"[(9, 0.74639364789907359)]"
313,1286,"[(1, 0.73958975036758412)]"
314,1287,"[(1, 0.67872750470090204), (3, 0.24405373753658843)]"
315,1288,"[(0, 0.66901082298384495)]"
316,1289,"[(4, 0.57196957273860982)]"
317,129,"[(1, 0.63660427023112909)]"
318,1290,"[(3, 0.66815234474002905)]"
319,1291,"[(4, 0.64208382674766806)]"
320,1292,"[(5, 0.32779687270378483), (6, 0.62495139736625094)]"
321,1293,"[(1, 0.35789523290290026), (4, 0.3427673981522541)]"
322,1294,"[(3, 0.93001619876381791)]"
323,1295,"[(2, 0.85936390323292433)]"
324,1296,"[(1, 0.28028445479293651), (3, 0.64989697207995056)]"
325,1297,"[(5, 0.62756752701205498), (8, 0.27147693339472523)]"
326,1298,"[(0, 0.30253203695224068), (1, 0.27093073254558703), (8, 0.2223655895451718)]"
327,1299,"[(3, 0.66661686542981591), (5, 0.2953229628002077)]"
328,13,"[(1, 0.86824609486633608)]"
329,130,"[(1, 0.32692664378051056), (4, 0.35821653891415678), (6, 0.24209964992139585)]"
330,1301,"[(1, 0.91379508559642275)]"
331,1302,"[(5, 0.75124137741684305)]"
332,1303,"[(0, 0.41527745792663862), (1, 0.50794670129217256)]"
333,1304,"[(1, 0.74512753462293857), (9, 0.22700107805823427)]"
334,1305,"[(1, 0.92039476653489349)]"
335,1306,"[(0, 0.58921885578544686), (3, 0.26298643822373308)]"
336,1307,"[(1, 0.98900654596102677)]"
337,1308,"[(4, 0.71379531874684776)]"
338,1309,"[(1, 0.37930882596586402)]"
339,131,"[(1, 0.99572735718343852)]"
340,1310,"[(1, 0.73538688516224504)]"
341,1311,"[(0, 0.52341559894467848), (7, 0.35884511000108227)]"
342,1312,"[(1, 0.72896486119415171)]"
343,1313,"[(0, 0.32185901852977405), (3, 0.30501097081376033)]"
344,1314,"[(0, 0.62031477805089308), (1, 0.36840816416304173)]"
345,1315,"[(0, 0.80721145643152459)]"
346,1316,"[(4, 0.58072155304323736)]"
347,1317,"[(5, 0.9641844460193586)]"
348,1318,"[(4, 0.42849516190855075), (8, 0.28393002992741972)]"
349,1319,"[(1, 0.99897638602122618)]"
350,132,"[(1, 0.99134752023351802)]"
351,1320,"[(1, 0.25490061034897565), (6, 0.2313598751285541), (9, 0.45365760082289797)]"
352,1321,"[(0, 0.46509814384917592), (1, 0.38446125425214428)]"
353,1322,"[(1, 0.98682856000272512)]"
354,1323,"[(0, 0.30675776475654049), (2, 0.30623363852950081)]"
355,1324,"[(1, 0.5207838886355084), (4, 0.33361737093587635)]"
356,1325,"[(7, 0.54173614495975253), (9, 0.37812477782972959)]"
357,1326,"[(0, 0.64564539182714331), (1, 0.34510471790613811)]"
358,1327,"[(6, 0.53296077253621121), (9, 0.30516944592155709)]"
359,1328,"[(4, 0.28943774890974766), (5, 0.3608774929252212)]"
360,1329,"[(3, 0.54030534500535221)]"
361,133,"[(1, 0.63162055424073027), (6, 0.24566553261102886)]"
362,1330,"[(1, 0.9924897877515414)]"
363,1331,"[(4, 0.75150335923080602)]"
364,1332,"[(2, 0.70563323539563039), (3, 0.217098118252224)]"
365,1333,"[(0, 0.20354798705365032), (1, 0.31394104623483998), (8, 0.28877131353417618)]"
366,1334,"[(0, 0.32655871436449629)]"
367,1335,"[(3, 0.47275745027278815), (7, 0.44166588152196851)]"
368,1336,"[(1, 0.70985320517516748), (8, 0.26158165921769372)]"
369,1337,"[(1, 0.95141658891853509)]"
370,1338,"[(1, 0.99914284494947214)]"
371,1339,"[(0, 0.38528843040091731), (3, 0.29027825418516184), (4, 0.26335691294794422)]"
372,134,"[(1, 0.44604154291162995), (7, 0.22733785490707048), (8, 0.23668626019355912)]"
373,1340,"[(8, 0.5065039642119501)]"
374,1341,"[(4, 0.44029505962321314), (9, 0.398625910768164)]"
375,1342,"[(0, 0.74287673787836839)]"
376,1343,"[(0, 0.23348498589826494), (1, 0.61436760322266293)]"
377,1344,"[(1, 0.66222285512628498)]"
378,1345,"[(1, 0.9761597051120815)]"
379,1346,"[(7, 0.93509723158309666)]"
380,1347,"[(0, 0.28681732319311654), (2, 0.59851080454820893)]"
381,1348,"[(9, 0.48691810983791484)]"
382,1349,"[(5, 0.22125184255790153), (6, 0.47900441485022638)]"
383,135,"[(3, 0.35385895178849525), (6, 0.50172310899744788)]"
384,1350,"[(1, 0.39118718357406346), (3, 0.23922009341516914), (5, 0.20368908878944153)]"
385,1351,"[(3, 0.73450135215662637)]"
386,1352,"[(1, 0.20517235922730562), (3, 0.67408909887545587)]"
387,1353,"[(0, 0.45449862809893415), (3, 0.20246408517528447), (4, 0.31504481203255558)]"
388,1354,"[(3, 0.46113226455963513), (4, 0.3343669842323394)]"
389,1355,"[(1, 0.4360721344144714), (3, 0.47147054958621321)]"
390,1356,"[(1, 0.2641951853632275), (3, 0.29484654495085383), (6, 0.40388188307803474)]"
391,1357,"[(0, 0.43051422414675822), (3, 0.28432318644646709)]"
392,1358,"[(0, 0.21289404463701458), (1, 0.47255467883344004)]"
393,1359,"[(6, 0.25247488549726088), (8, 0.20050565586064376)]"
394,136,"[(1, 0.57476728065175364), (5, 0.27513072415659567)]"
395,1360,"[(1, 0.89418006944056694)]"
396,1361,"[(1, 0.28398059513755008), (2, 0.35097193875996135), (6, 0.23214055113125495)]"
397,1362,"[(5, 0.99912955571753703)]"
398,1363,"[(2, 0.45932447835652362), (4, 0.26001732852916909)]"
399,1364,"[(1, 0.72790789923327925), (2, 0.20419737212905448)]"
400,1365,"[(1, 0.46549645920078603), (3, 0.3754876591871294)]"
401,1366,"[(1, 0.36267870170624167), (9, 0.49722236952828069)]"
402,1367,"[(1, 0.90650185614300027)]"
403,1368,"[(1, 0.72519644860334243)]"
404,1369,"[(1, 0.67327891082229663), (3, 0.23442274211236735)]"
405,137,"[(1, 0.88912608215786981)]"
406,1370,"[(6, 0.70617187905665768), (9, 0.21310540486029564)]"
407,1371,"[(1, 0.81788122573980193)]"
408,1372,"[(0, 0.48138491154989488), (2, 0.42058728669654644)]"
409,1373,"[(1, 0.4752301104339956), (2, 0.47018505902258273)]"
410,1374,"[(1, 0.47211317145519477), (3, 0.39762036766129355)]"
411,1375,"[(0, 0.33008156622019591), (2, 0.27412860994110633), (7, 0.27178079988429243)]"
412,1376,"[(9, 0.59215673992753892)]"
413,1377,"[(1, 0.6805929759750492), (7, 0.23974811726218245)]"
